instant_day,dteday,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,cnt_day,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,cnt_hour
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5
